STATEFIP,YEAR,QUARTER,bartik_shock
1,1978,1,0.04011112797100969
1,1978,2,0.05042676676164463
1,1978,3,0.043714322455917186
1,1978,4,0.04891251925498634
1,1979,1,0.05119411925813241
1,1979,2,0.03998328092632192
1,1979,3,0.033712979215368324
1,1979,4,0.026435046515189405
1,1980,1,0.020630644774313346
1,1980,2,0.005633221070627549
1,1980,3,-0.005443332591530589
1,1980,4,0.0004474657236208173
1,1981,1,0.003763124168751898
1,1981,2,0.01421275504432674
1,1981,3,0.020579333089319946
1,1981,4,0.009654449004879329
1,1982,1,-0.0035582715897631767
1,1982,2,-0.016057338612628366
1,1982,3,-0.02704810595660422
1,1982,4,-0.02793537349384984
1,1983,1,-0.02100969371438674
1,1983,2,-0.004750246750635497
1,1983,3,0.015245712639937115
1,1983,4,0.040024919036865086
1,1984,1,0.05291430635619419
1,1984,2,0.05637539494762272
1,1984,3,0.052694037891927704
1,1984,4,0.046646446459188376
1,1985,1,0.03900684402636454
1,1985,2,0.03469215104593178
1,1985,3,0.027872588647798728
1,1985,4,0.026816664333153304
1,1986,1,0.02316371753456955
1,1986,2,0.01905035996752262
1,1986,3,0.017714711361595657
1,1986,4,0.019339218574355582
1,1987,1,0.022023960197190946
1,1987,2,0.02446668130316657
1,1987,3,0.028466195601400138
1,1987,4,0.032319141421846546
1,1988,1,0.03380837019481916
1,1988,2,0.035056321237925465
1,1988,3,0.03497331286519508
1,1988,4,0.033188809763823234
1,1989,1,0.03160789013718859
1,1989,2,0.028584197665777147
1,1989,3,0.023914097611805313
1,1989,4,0.018907634607800254
1,1990,1,0.01771160712364815
1,1990,2,0.012810838527164218
1,1990,3,0.007389990119513623
1,1990,4,0.0017553888283950712
1,1991,1,-0.010611173583742577
1,1991,2,-0.016868320440895264
1,1991,3,-0.01672242773815155
1,1991,4,-0.011447681941425886
1,1992,1,-0.00797824971098693
1,1992,2,0.0005003817406926197
1,1992,3,0.0017581269284414288
1,1992,4,0.006982865892292262
1,1993,1,0.014078650907720704
1,1993,2,0.016115595972410544
1,1993,3,0.021738420709533756
1,1993,4,0.024985209278035058
1,1994,1,0.0277654120384814
1,1994,2,0.03260469067038043
1,1994,3,0.03437583705781038
1,1994,4,0.03504971522581449
1,1995,1,0.037160904151910576
1,1995,2,0.030459802758973035
1,1995,3,0.022710508802055822
1,1995,4,0.01934953991171682
1,1996,1,0.017856965952334106
1,1996,2,0.020025501012434496
1,1996,3,0.020271315053712376
1,1996,4,0.02260157974555023
