series_id,industry,year,month,employment
CES0500000001,Total private,1976,1,63534.0
CES0500000001,Total private,1976,2,63835.0
CES0500000001,Total private,1976,3,64061.0
CES0500000001,Total private,1976,4,64307.0
CES0500000001,Total private,1976,5,64341.0
CES0500000001,Total private,1976,6,64413.0
CES0500000001,Total private,1976,7,64554.0
CES0500000001,Total private,1976,8,64697.0
CES0500000001,Total private,1976,9,64921.0
CES0500000001,Total private,1976,10,64883.0
CES0500000001,Total private,1976,11,65167.0
CES0500000001,Total private,1976,12,65373.0
CES0500000001,Total private,1977,1,65634.0
CES0500000001,Total private,1977,2,65932.0
CES0500000001,Total private,1977,3,66341.0
CES0500000001,Total private,1977,4,66653.0
CES0500000001,Total private,1977,5,66956.0
CES0500000001,Total private,1977,6,67281.0
CES0500000001,Total private,1977,7,67535.0
CES0500000001,Total private,1977,8,67747.0
CES0500000001,Total private,1977,9,68129.0
CES0500000001,Total private,1977,10,68337.0
CES0500000001,Total private,1977,11,68658.0
CES0500000001,Total private,1977,12,68872.0
CES0500000001,Total private,1978,1,68983.0
CES0500000001,Total private,1978,2,69277.0
CES0500000001,Total private,1978,3,69729.0
CES0500000001,Total private,1978,4,70365.0
CES0500000001,Total private,1978,5,70675.0
CES0500000001,Total private,1978,6,71098.0
CES0500000001,Total private,1978,7,71303.0
CES0500000001,Total private,1978,8,71592.0
CES0500000001,Total private,1978,9,71802.0
CES0500000001,Total private,1978,10,72098.0
CES0500000001,Total private,1978,11,72497.0
CES0500000001,Total private,1978,12,72760.0
CES0500000001,Total private,1979,1,72871.0
CES0500000001,Total private,1979,2,73108.0
CES0500000001,Total private,1979,3,73523.0
CES0500000001,Total private,1979,4,73440.0
CES0500000001,Total private,1979,5,73799.0
CES0500000001,Total private,1979,6,74063.0
CES0500000001,Total private,1979,7,74067.0
CES0500000001,Total private,1979,8,74071.0
CES0500000001,Total private,1979,9,74199.0
CES0500000001,Total private,1979,10,74345.0
CES0500000001,Total private,1979,11,74400.0
CES0500000001,Total private,1979,12,74492.0
CES0500000001,Total private,1980,1,74599.0
CES0500000001,Total private,1980,2,74657.0
CES0500000001,Total private,1980,3,74698.0
CES0500000001,Total private,1980,4,74266.0
CES0500000001,Total private,1980,5,73966.0
CES0500000001,Total private,1980,6,73660.0
CES0500000001,Total private,1980,7,73422.0
CES0500000001,Total private,1980,8,73689.0
CES0500000001,Total private,1980,9,73883.0
CES0500000001,Total private,1980,10,74104.0
CES0500000001,Total private,1980,11,74356.0
CES0500000001,Total private,1980,12,74570.0
CES0500000001,Total private,1981,1,74673.0
CES0500000001,Total private,1981,2,74759.0
CES0500000001,Total private,1981,3,74918.0
CES0500000001,Total private,1981,4,75023.0
CES0500000001,Total private,1981,5,75098.0
CES0500000001,Total private,1981,6,75331.0
CES0500000001,Total private,1981,7,75426.0
CES0500000001,Total private,1981,8,75455.0
CES0500000001,Total private,1981,9,75446.0
CES0500000001,Total private,1981,10,75311.0
CES0500000001,Total private,1981,11,75093.0
CES0500000001,Total private,1981,12,74822.0
CES0500000001,Total private,1982,1,74524.0
CES0500000001,Total private,1982,2,74552.0
CES0500000001,Total private,1982,3,74410.0
CES0500000001,Total private,1982,4,74140.0
CES0500000001,Total private,1982,5,74104.0
CES0500000001,Total private,1982,6,73849.0
CES0500000001,Total private,1982,7,73631.0
CES0500000001,Total private,1982,8,73433.0
CES0500000001,Total private,1982,9,73260.0
CES0500000001,Total private,1982,10,72951.0
CES0500000001,Total private,1982,11,72809.0
CES0500000001,Total private,1982,12,72790.0
CES0500000001,Total private,1983,1,72967.0
