STATEFIP,state_name,year,month,unemployment_rate,unemployment_total,employment_total,labor_force,population
1,Alabama,1976,1,7.5,108671.0,1347916.0,1456587.0,2605000.0
1,Alabama,1976,2,7.7,112512.0,1355418.0,1467930.0,2610000.0
1,Alabama,1976,3,6.3,93156.0,1376231.0,1469387.0,2615000.0
1,Alabama,1976,4,5.7,83757.0,1392432.0,1476189.0,2620000.0
1,Alabama,1976,5,5.2,77072.0,1403074.0,1480146.0,2626000.0
1,Alabama,1976,6,7.3,111243.0,1411227.0,1522470.0,2631000.0
1,Alabama,1976,7,7.2,109826.0,1419971.0,1529797.0,2636000.0
1,Alabama,1976,8,7.2,109087.0,1411134.0,1520221.0,2641000.0
1,Alabama,1976,9,6.7,100879.0,1402136.0,1503015.0,2645000.0
1,Alabama,1976,10,6.5,99510.0,1425733.0,1525243.0,2650000.0
1,Alabama,1976,11,6.7,101762.0,1425635.0,1527397.0,2654000.0
1,Alabama,1976,12,6.6,100848.0,1428145.0,1528993.0,2659000.0
1,Alabama,1977,1,7.6,115170.0,1394206.0,1509376.0,2663000.0
1,Alabama,1977,2,8.1,122883.0,1395270.0,1518153.0,2668000.0
1,Alabama,1977,3,7.3,111446.0,1419090.0,1530536.0,2673000.0
1,Alabama,1977,4,6.7,103850.0,1438806.0,1542656.0,2677000.0
1,Alabama,1977,5,6.5,100166.0,1445196.0,1545362.0,2682000.0
1,Alabama,1977,6,8.4,133160.0,1460274.0,1593434.0,2686000.0
1,Alabama,1977,7,7.7,122637.0,1468241.0,1590878.0,2691000.0
1,Alabama,1977,8,7.6,120784.0,1466547.0,1587331.0,2696000.0
1,Alabama,1977,9,6.8,106786.0,1465905.0,1572691.0,2701000.0
1,Alabama,1977,10,6.4,102037.0,1485492.0,1587529.0,2705000.0
1,Alabama,1977,11,6.4,102081.0,1492102.0,1594183.0,2710000.0
1,Alabama,1977,12,6.0,95670.0,1495336.0,1591006.0,2715000.0
1,Alabama,1978,1,7.0,110406.0,1466381.0,1576787.0,2720000.0
1,Alabama,1978,2,7.0,110432.0,1476329.0,1586761.0,2725000.0
1,Alabama,1978,3,6.1,97460.0,1488376.0,1585836.0,2730000.0
1,Alabama,1978,4,5.6,89487.0,1505924.0,1595411.0,2734000.0
1,Alabama,1978,5,5.4,86150.0,1511823.0,1597973.0,2739000.0
1,Alabama,1978,6,7.0,115431.0,1531355.0,1646786.0,2744000.0
1,Alabama,1978,7,6.7,110467.0,1531047.0,1641514.0,2749000.0
1,Alabama,1978,8,6.8,111015.0,1527240.0,1638255.0,2753000.0
1,Alabama,1978,9,6.6,107325.0,1524090.0,1631415.0,2756000.0
1,Alabama,1978,10,6.3,103611.0,1541483.0,1645094.0,2760000.0
1,Alabama,1978,11,6.6,108268.0,1541133.0,1649401.0,2764000.0
1,Alabama,1978,12,6.7,110201.0,1530874.0,1641075.0,2767000.0
1,Alabama,1979,1,7.0,113757.0,1501602.0,1615359.0,2771000.0
1,Alabama,1979,2,7.5,122517.0,1508416.0,1630933.0,2775000.0
1,Alabama,1979,3,6.8,110610.0,1523905.0,1634515.0,2778000.0
1,Alabama,1979,4,6.5,107041.0,1531261.0,1638302.0,2782000.0
1,Alabama,1979,5,6.4,104548.0,1532801.0,1637349.0,2786000.0
1,Alabama,1979,6,8.0,134197.0,1547543.0,1681740.0,2789000.0
1,Alabama,1979,7,7.3,123628.0,1563251.0,1686879.0,2793000.0
1,Alabama,1979,8,7.9,133440.0,1546496.0,1679936.0,2796000.0
1,Alabama,1979,9,7.3,121619.0,1545163.0,1666782.0,2799000.0
1,Alabama,1979,10,7.4,123730.0,1559323.0,1683053.0,2803000.0
1,Alabama,1979,11,7.2,120792.0,1551681.0,1672473.0,2806000.0
1,Alabama,1979,12,7.2,119621.0,1552009.0,1671630.0,2809000.0
1,Alabama,1980,1,8.1,134397.0,1517765.0,1652162.0,2812000.0
1,Alabama,1980,2,8.2,135618.0,1520232.0,1655850.0,2814668.0
1,Alabama,1980,3,7.7,126862.0,1526426.0,1653288.0,2817357.0
1,Alabama,1980,4,7.7,128083.0,1528094.0,1656177.0,2821024.0
1,Alabama,1980,5,8.0,132986.0,1531054.0,1664040.0,2823701.0
1,Alabama,1980,6,9.3,158232.0,1537931.0,1696163.0,2826367.0
1,Alabama,1980,7,9.2,155892.0,1543381.0,1699273.0,2829043.0
1,Alabama,1980,8,9.4,159427.0,1532895.0,1692322.0,2831707.0
1,Alabama,1980,9,8.9,148893.0,1528100.0,1676993.0,2834370.0
1,Alabama,1980,10,9.1,154434.0,1534386.0,1688820.0,2837044.0
1,Alabama,1980,11,9.2,155829.0,1531763.0,1687592.0,2839706.0
1,Alabama,1980,12,9.1,152884.0,1522563.0,1675447.0,2842379.0
1,Alabama,1981,1,10.4,171880.0,1487578.0,1659458.0,2845040.0
1,Alabama,1981,2,10.6,176144.0,1490596.0,1666740.0,2847700.0
1,Alabama,1981,3,9.7,162789.0,1507984.0,1670773.0,2850392.0
1,Alabama,1981,4,9.4,157279.0,1523402.0,1680681.0,2853051.0
1,Alabama,1981,5,9.7,162744.0,1523010.0,1685754.0,2855721.0
1,Alabama,1981,6,11.1,189754.0,1520826.0,1710580.0,2858378.0
1,Alabama,1981,7,10.7,183626.0,1528120.0,1711746.0,2861046.0
1,Alabama,1981,8,11.1,187726.0,1508681.0,1696407.0,2862705.0
1,Alabama,1981,9,11.2,186824.0,1486805.0,1673629.0,2864363.0
1,Alabama,1981,10,11.6,195579.0,1497157.0,1692736.0,2866031.0
1,Alabama,1981,11,11.9,201328.0,1491399.0,1692727.0,2867689.0
