horizon,beta,se,pval,n,ci_lower,ci_upper,specification,outcome
0,0.003812,0.003638,0.294656,2397,-0.003318,0.010942,within_Bartik Industries,mean_abstract
1,0.003528,0.004624,0.445380,2346,-0.005534,0.012591,within_Bartik Industries,mean_abstract
2,0.002460,0.004686,0.599572,2295,-0.006725,0.011646,within_Bartik Industries,mean_abstract
3,0.004627,0.003885,0.233736,2244,-0.002989,0.012242,within_Bartik Industries,mean_abstract
4,0.005279,0.005155,0.305787,2193,-0.004824,0.015382,within_Bartik Industries,mean_abstract
5,0.005536,0.005461,0.310726,2142,-0.005168,0.016239,within_Bartik Industries,mean_abstract
0,-0.011298,0.003038,0.000200,2397,-0.017252,-0.005343,within_Bartik Industries,mean_routine
1,-0.013695,0.004764,0.004043,2346,-0.023032,-0.004358,within_Bartik Industries,mean_routine
2,-0.014332,0.004956,0.003833,2295,-0.024047,-0.004617,within_Bartik Industries,mean_routine
3,-0.015602,0.004939,0.001583,2244,-0.025282,-0.005922,within_Bartik Industries,mean_routine
4,-0.016969,0.005403,0.001687,2193,-0.027560,-0.006378,within_Bartik Industries,mean_routine
5,-0.018820,0.006048,0.001861,2142,-0.030675,-0.006965,within_Bartik Industries,mean_routine
0,0.001661,0.006500,0.798259,2397,-0.011079,0.014402,within_Bartik Industries,mean_manual
1,0.003779,0.008702,0.664083,2346,-0.013276,0.020834,within_Bartik Industries,mean_manual
2,0.000041,0.008154,0.995975,2295,-0.015941,0.016024,within_Bartik Industries,mean_manual
3,-0.006980,0.009011,0.438562,2244,-0.024642,0.010682,within_Bartik Industries,mean_manual
4,-0.010910,0.008328,0.190184,2193,-0.027234,0.005413,within_Bartik Industries,mean_manual
5,-0.010220,0.011224,0.362543,2142,-0.032219,0.011779,within_Bartik Industries,mean_manual
0,-0.005366,0.001676,0.001368,2397,-0.008652,-0.002081,within_Bartik Industries,mean_rti
1,-0.006725,0.002017,0.000854,2346,-0.010678,-0.002772,within_Bartik Industries,mean_rti
2,-0.005501,0.001891,0.003620,2295,-0.009207,-0.001795,within_Bartik Industries,mean_rti
3,-0.004424,0.002254,0.049715,2244,-0.008842,-0.000005,within_Bartik Industries,mean_rti
4,-0.004037,0.001931,0.036514,2193,-0.007821,-0.000253,within_Bartik Industries,mean_rti
5,-0.004956,0.002122,0.019538,2142,-0.009115,-0.000796,within_Bartik Industries,mean_rti
0,0.000233,0.002102,0.911687,2397,-0.003887,0.004353,within_Non-Bartik Industries,mean_abstract
1,0.000903,0.003166,0.775430,2346,-0.005302,0.007109,within_Non-Bartik Industries,mean_abstract
2,-0.002576,0.004319,0.550866,2295,-0.011041,0.005889,within_Non-Bartik Industries,mean_abstract
3,-0.006541,0.005064,0.196449,2244,-0.016466,0.003384,within_Non-Bartik Industries,mean_abstract
4,-0.004167,0.005064,0.410614,2193,-0.014092,0.005759,within_Non-Bartik Industries,mean_abstract
5,-0.001806,0.005003,0.718086,2142,-0.011613,0.008000,within_Non-Bartik Industries,mean_abstract
0,-0.004868,0.001974,0.013671,2397,-0.008737,-0.000998,within_Non-Bartik Industries,mean_routine
1,-0.006491,0.003870,0.093541,2346,-0.014077,0.001095,within_Non-Bartik Industries,mean_routine
2,-0.001466,0.004456,0.742105,2295,-0.010201,0.007268,within_Non-Bartik Industries,mean_routine
