horizon,beta,se,pval,n,ci_lower,ci_upper,specification,outcome,first_stage_f
0,-0.007695,0.001476,0.000000,2397,-0.010588,-0.004801,LOO_drop_Construction,mean_routine,34.907298
1,-0.008898,0.002439,0.000265,2346,-0.013679,-0.004117,LOO_drop_Construction,mean_routine,34.907298
2,-0.006560,0.002852,0.021425,2295,-0.012149,-0.000971,LOO_drop_Construction,mean_routine,34.907298
3,-0.006878,0.003241,0.033823,2244,-0.013230,-0.000526,LOO_drop_Construction,mean_routine,34.907298
4,-0.007818,0.003796,0.039430,2193,-0.015258,-0.000378,LOO_drop_Construction,mean_routine,34.907298
5,-0.007939,0.003910,0.042289,2142,-0.015602,-0.000276,LOO_drop_Construction,mean_routine,34.907298
0,-0.006436,0.001591,0.000052,2397,-0.009555,-0.003318,LOO_drop_Manufacturing - Durable goods,mean_routine,20.669285
1,-0.008303,0.002498,0.000888,2346,-0.013200,-0.003407,LOO_drop_Manufacturing - Durable goods,mean_routine,20.669285
2,-0.005765,0.003053,0.058978,2295,-0.011748,0.000219,LOO_drop_Manufacturing - Durable goods,mean_routine,20.669285
3,-0.005508,0.003621,0.128172,2244,-0.012605,0.001588,LOO_drop_Manufacturing - Durable goods,mean_routine,20.669285
4,-0.006590,0.003861,0.087841,2193,-0.014156,0.000977,LOO_drop_Manufacturing - Durable goods,mean_routine,20.669285
5,-0.007097,0.003725,0.056785,2142,-0.014398,0.000205,LOO_drop_Manufacturing - Durable goods,mean_routine,20.669285
0,-0.007563,0.001799,0.000026,2397,-0.011089,-0.004038,LOO_drop_Professional and business services,mean_routine,23.015866
1,-0.008156,0.003629,0.024594,2346,-0.015269,-0.001044,LOO_drop_Professional and business services,mean_routine,23.015866
2,-0.004991,0.003958,0.207310,2295,-0.012750,0.002767,LOO_drop_Professional and business services,mean_routine,23.015866
3,-0.004593,0.004390,0.295433,2244,-0.013197,0.004011,LOO_drop_Professional and business services,mean_routine,23.015866
4,-0.005735,0.004977,0.249222,2193,-0.015490,0.004020,LOO_drop_Professional and business services,mean_routine,23.015866
5,-0.006793,0.004818,0.158597,2142,-0.016236,0.002651,LOO_drop_Professional and business services,mean_routine,23.015866
0,0.001481,0.001634,0.364821,2397,-0.001722,0.004684,educ_College-Type Occupations,mean_routine,
1,0.003241,0.003169,0.306423,2346,-0.002970,0.009453,educ_College-Type Occupations,mean_routine,
2,0.005741,0.004167,0.168279,2295,-0.002426,0.013908,educ_College-Type Occupations,mean_routine,
3,0.003664,0.003525,0.298532,2244,-0.003244,0.010573,educ_College-Type Occupations,mean_routine,
4,0.002938,0.003571,0.410605,2193,-0.004060,0.009936,educ_College-Type Occupations,mean_routine,
5,0.006019,0.005159,0.243345,2142,-0.004093,0.016131,educ_College-Type Occupations,mean_routine,
0,-0.011313,0.002598,0.000013,2397,-0.016405,-0.006221,educ_Non-College-Type Occupations,mean_routine,
1,-0.015648,0.003348,0.000003,2346,-0.022209,-0.009086,educ_Non-College-Type Occupations,mean_routine,
2,-0.015268,0.003504,0.000013,2295,-0.022136,-0.008400,educ_Non-College-Type Occupations,mean_routine,
3,-0.014181,0.003888,0.000265,2244,-0.021801,-0.006561,educ_Non-College-Type Occupations,mean_routine,
4,-0.013798,0.004457,0.001960,2193,-0.022533,-0.005063,educ_Non-College-Type Occupations,mean_routine,
5,-0.015498,0.004424,0.000460,2142,-0.024170,-0.006827,educ_Non-College-Type Occupations,mean_routine,
0,-0.008592,0.002031,0.000023,2397,-0.012573,-0.004611,region_year_trends,mean_routine,21.304744
1,-0.009951,0.003687,0.006955,2346,-0.017177,-0.002725,region_year_trends,mean_routine,21.304744
2,-0.006827,0.004079,0.094181,2295,-0.014821,0.001168,region_year_trends,mean_routine,21.304744
3,-0.006582,0.004458,0.139786,2244,-0.015319,0.002155,region_year_trends,mean_routine,21.304744
4,-0.007920,0.004991,0.112543,2193,-0.017703,0.001862,region_year_trends,mean_routine,21.304744
5,-0.009660,0.004765,0.042617,2142,-0.018999,-0.000321,region_year_trends,mean_routine,21.304744
