horizon,beta,se,pval,n,ci_lower,ci_upper,specification,outcome
0,0.695391,0.342816,0.042513,2397,0.023471,1.367311,delta_log_emp,mean_routine
1,0.844696,0.464452,0.068958,2346,-0.065629,1.755022,delta_log_emp,mean_routine
2,0.676353,0.494396,0.171300,2295,-0.292663,1.645369,delta_log_emp,mean_routine
3,0.675771,0.489947,0.167810,2244,-0.284524,1.636067,delta_log_emp,mean_routine
4,0.830939,0.513658,0.105729,2193,-0.175829,1.837708,delta_log_emp,mean_routine
5,0.923263,0.480324,0.054585,2142,-0.018173,1.864698,delta_log_emp,mean_routine
0,-0.009764,0.004227,0.020888,1222,-0.018048,-0.001479,split_High Routine,mean_routine
1,-0.011987,0.006420,0.061882,1196,-0.024571,0.000596,split_High Routine,mean_routine
2,-0.007747,0.008322,0.351880,1170,-0.024058,0.008563,split_High Routine,mean_routine
3,-0.010122,0.008894,0.255107,1144,-0.027554,0.007311,split_High Routine,mean_routine
4,-0.015642,0.009304,0.092708,1118,-0.033877,0.002593,split_High Routine,mean_routine
5,-0.020965,0.009688,0.030471,1092,-0.039954,-0.001976,split_High Routine,mean_routine
0,-0.008893,0.003084,0.003933,1175,-0.014938,-0.002848,split_Low Routine,mean_routine
1,-0.012401,0.005148,0.015989,1150,-0.022490,-0.002312,split_Low Routine,mean_routine
2,-0.012082,0.005112,0.018114,1125,-0.022102,-0.002062,split_Low Routine,mean_routine
3,-0.011115,0.005477,0.042435,1100,-0.021850,-0.000379,split_Low Routine,mean_routine
4,-0.011004,0.005582,0.048700,1075,-0.021946,-0.000063,split_Low Routine,mean_routine
5,-0.011006,0.005434,0.042819,1050,-0.021656,-0.000356,split_Low Routine,mean_routine
0,-0.014687,0.003169,0.000004,2397,-0.020897,-0.008477,age_young,mean_routine
1,-0.014779,0.004709,0.001698,2346,-0.024009,-0.005550,age_young,mean_routine
2,-0.008431,0.005905,0.153310,2295,-0.020005,0.003142,age_young,mean_routine
3,-0.011301,0.006428,0.078730,2244,-0.023900,0.001298,age_young,mean_routine
4,-0.011453,0.005707,0.044757,2193,-0.022638,-0.000268,age_young,mean_routine
5,-0.013519,0.006421,0.035257,2142,-0.026105,-0.000934,age_young,mean_routine
0,-0.007138,0.002502,0.004334,2397,-0.012042,-0.002234,age_prime,mean_routine
1,-0.008579,0.004203,0.041254,2346,-0.016817,-0.000340,age_prime,mean_routine
2,-0.006473,0.005100,0.204421,2295,-0.016469,0.003524,age_prime,mean_routine
3,-0.005189,0.005235,0.321560,2244,-0.015449,0.005071,age_prime,mean_routine
4,-0.008657,0.005621,0.123525,2193,-0.019674,0.002360,age_prime,mean_routine
5,-0.010696,0.005182,0.039004,2142,-0.020851,-0.000540,age_prime,mean_routine
0,-0.004310,0.003391,0.203716,2397,-0.010956,0.002336,age_older,mean_routine
1,-0.009853,0.005133,0.054898,2346,-0.019914,0.000207,age_older,mean_routine
2,-0.014040,0.004774,0.003271,2295,-0.023397,-0.004684,age_older,mean_routine
3,-0.012376,0.006071,0.041500,2244,-0.024275,-0.000477,age_older,mean_routine
4,-0.012121,0.007668,0.113941,2193,-0.027149,0.002908,age_older,mean_routine
5,-0.009339,0.007826,0.232729,2142,-0.024679,0.006000,age_older,mean_routine
