industry,avg_emp_share,var_national_growth,sd_national_growth,mean_national_growth,rotemberg_weight,rotemberg_pct
Construction,0.07131085535592169,0.002468845300965176,0.04968747629901499,0.017998806718824083,0.0001760554701532746,23.07828375998544
Manufacturing - Durable goods,0.08445090715726326,0.0014621836578990717,0.03823851014225151,-0.005501706357803505,0.0001234827363401021,16.186771284273764
Professional and business services,0.1260581885330619,0.0007862624955711234,0.028040372600433173,0.02659103028290311,9.911482590318041e-05,12.992496484339469
Retail trade,0.17679504148121206,0.00045774264134792976,0.02139492092408686,0.011369357776738866,8.092662926482681e-05,10.608291308908683
Education and health services,0.19616473797078407,0.0002629298330035733,0.016215111254739307,0.03243798982689581,5.157756179584797e-05,6.761060055313617
Mining and logging,0.009958121769391147,0.004941651800261928,0.0702968832898154,-0.0037001425833568047,4.9209570368939256e-05,6.450651193584786
Transportation and warehousing,0.045775385687959885,0.0007858213149068877,0.02803250461351764,0.019150198298197297,3.597127377168257e-05,4.715305139841866
Leisure and hospitality,0.01787862772174751,0.0016199546664012077,0.04024866042989764,0.02291517317833177,2.8962566406694873e-05,3.796566646689301
Other services,0.039048828226050915,0.0006793290354746977,0.026063941288199253,0.020596840688266987,2.652700281522032e-05,3.477300067635532
Manufacturing - Nondurable goods,0.05669775322723084,0.0004647605832271791,0.0215583065946094,-0.0071231763497581905,2.635088085755848e-05,3.4542130683406764
Financial activities,0.06404399519874651,0.00040477412591547905,0.02011899912807491,0.01653690232010694,2.5923352176707758e-05,3.3981703438310924
Wholesale trade,0.03240095844377612,0.0005304611372907511,0.0230317419508545,0.009336792598556617,1.7187449265395848e-05,2.2530219078783955
Information,0.012204633540213035,0.0011108257832517425,0.033329053140642065,0.006762337615833544,1.3557221611607631e-05,1.7771524342714013
Government,0.05403176934851409,0.00014834820536790828,0.012179827805347179,0.009287387503467233,8.01551601570482e-06,1.0507163051059736
