horizon,beta,se,pval,ci_lower,ci_upper,n,outcome,specification,first_stage_f
-3,-0.002244,0.000945,0.017637,-0.004097,-0.000391,2295,mean_rti,placebo,
-2,-0.000453,0.000668,0.497726,-0.001762,0.000856,2346,mean_rti,placebo,
-3,0.003966,0.003361,0.237982,-0.002621,0.010554,2295,mean_abstract,placebo,
-2,0.000671,0.002069,0.745583,-0.003384,0.004726,2346,mean_abstract,placebo,
-3,-0.002016,0.002690,0.453491,-0.007288,0.003256,2295,mean_routine,placebo,
-2,0.002100,0.001714,0.220402,-0.001259,0.005459,2346,mean_routine,placebo,
-3,0.001056,0.003972,0.790374,-0.006729,0.008841,2295,mean_manual,placebo,
-2,0.002717,0.003218,0.398435,-0.003590,0.009025,2346,mean_manual,placebo,
0,-0.008125,0.001942,0.000029,-0.011931,-0.004319,2397,share_routine,composition,
1,-0.011161,0.003153,0.000401,-0.017342,-0.004981,2346,share_routine,composition,
2,-0.008585,0.003340,0.010155,-0.015131,-0.002039,2295,share_routine,composition,
3,-0.006752,0.004292,0.115686,-0.015164,0.001660,2244,share_routine,composition,
4,-0.009044,0.004306,0.035692,-0.017483,-0.000605,2193,share_routine,composition,
5,-0.010950,0.004204,0.009192,-0.019189,-0.002711,2142,share_routine,composition,
0,0.004195,0.001985,0.034596,0.000304,0.008086,2397,share_NRC,composition,
1,0.005008,0.002875,0.081486,-0.000626,0.010643,2346,share_NRC,composition,
2,0.002414,0.003335,0.469080,-0.004122,0.008950,2295,share_NRC,composition,
3,0.001542,0.003677,0.674920,-0.005664,0.008748,2244,share_NRC,composition,
4,0.005114,0.003538,0.148368,-0.001821,0.012049,2193,share_NRC,composition,
5,0.006427,0.004235,0.129135,-0.001874,0.014728,2142,share_NRC,composition,
0,0.003930,0.001643,0.016725,0.000711,0.007150,2397,share_NRM,composition,
1,0.006153,0.001422,0.000015,0.003365,0.008941,2346,share_NRM,composition,
2,0.006171,0.001596,0.000110,0.003043,0.009299,2295,share_NRM,composition,
3,0.005210,0.001740,0.002752,0.001799,0.008620,2244,share_NRM,composition,
4,0.003930,0.002212,0.075653,-0.000406,0.008266,2193,share_NRM,composition,
5,0.004522,0.002839,0.111211,-0.001043,0.010088,2142,share_NRM,composition,
0,-0.000108,0.001739,0.950249,-0.003516,0.003299,2397,share_RC,composition,
1,-0.000186,0.001894,0.921974,-0.003898,0.003527,2346,share_RC,composition,
2,0.001955,0.001716,0.254635,-0.001408,0.005318,2295,share_RC,composition,
3,0.002723,0.002485,0.273190,-0.002147,0.007593,2244,share_RC,composition,
4,0.000172,0.002584,0.946906,-0.004892,0.005236,2193,share_RC,composition,
5,-0.000458,0.002733,0.866826,-0.005815,0.004899,2142,share_RC,composition,
0,-0.008017,0.002693,0.002909,-0.013295,-0.002739,2397,share_RM,composition,
1,-0.010976,0.003620,0.002427,-0.018070,-0.003881,2346,share_RM,composition,
2,-0.010540,0.003855,0.006251,-0.018094,-0.002985,2295,share_RM,composition,
3,-0.009474,0.004386,0.030768,-0.018071,-0.000878,2244,share_RM,composition,
4,-0.009216,0.004025,0.022032,-0.017105,-0.001327,2193,share_RM,composition,
5,-0.010491,0.004271,0.014035,-0.018863,-0.002120,2142,share_RM,composition,
0,-0.001708,0.001103,0.121370,-0.003870,0.000453,2397,mean_rti,flex_controls,17.422028
1,-0.003060,0.001722,0.075506,-0.006435,0.000314,2346,mean_rti,flex_controls,17.422028
2,-0.001825,0.001732,0.292183,-0.005221,0.001571,2295,mean_rti,flex_controls,17.422028
3,-0.000315,0.002121,0.881868,-0.004472,0.003842,2244,mean_rti,flex_controls,17.422028
4,-0.001784,0.002415,0.460207,-0.006517,0.002950,2193,mean_rti,flex_controls,17.422028
5,-0.003600,0.002607,0.167316,-0.008710,0.001510,2142,mean_rti,flex_controls,17.422028
0,0.001092,0.003078,0.722794,-0.004940,0.007124,2397,mean_abstract,flex_controls,17.422028
1,0.003873,0.003819,0.310466,-0.003611,0.011357,2346,mean_abstract,flex_controls,17.422028
