STATEFIP,YEAR,mean_routine,total_emp
1,1977,2.658331372586211,1280462.6
1,1978,2.660540717924871,2673423.9099999997
1,1979,2.671123911250779,2660700.09
1,1980,2.687456118685728,2567067.66
1,1981,2.7063662983264676,2269660.21
1,1982,2.648609055511856,2047117.85
1,1983,2.661357914617272,2395272.59
1,1984,2.6679104260114785,2404968.3499999996
1,1985,2.678501637317011,2270621.0
1,1986,2.6390722304441705,2534961.13
1,1987,2.641221343669944,2648123.6599999997
1,1988,2.610370223243536,2704893.25
1,1989,2.631304591426799,2685875.9800000004
1,1990,2.666437459519487,2485597.3200000003
1,1991,2.683427341119335,2487801.0399999996
1,1992,2.691043953666117,2483683.8099999996
1,1993,2.6635443561367245,2519439.97
1,1994,2.619773545127188,2641724.3562
1,1995,2.6450966203111683,2577523.0032
1,1996,2.6435311140139763,2646661.7821
1,1997,2.6254891441062034,2906573.5683
1,1998,2.558435382771072,2955724.409
1,1999,2.5749918659600652,2700108.1556
1,2000,2.5677608321854803,3165470.897
1,2001,2.5612997080117976,3246348.5875
1,2002,2.637127693821331,3243395.3757999996
1,2003,2.6348784242694627,3420519.4396
1,2004,2.6191643296403386,3568579.5873
1,2005,2.5965608448525117,3723253.3358
1,2006,2.5860946745125335,4428790.648
1,2007,2.5625793401738814,4578003.4593
1,2008,2.5947961336335914,4693907.6304
1,2009,2.5861706282829156,4387772.3018000005
1,2010,2.5841885231019157,4584795.9856
1,2011,2.6121904378542427,4952946.898899999
1,2012,2.583278787547481,5173286.2714
1,2013,2.6228378428237225,5354702.2269
1,2014,2.6153860585769584,4781916.559099999
1,2015,2.6054460088171885,5238938.242099999
1,2016,2.6100105012596666,5089404.459
1,2017,2.6018452764819098,5509109.5107
1,2018,2.6054825448748753,5535987.518999999
1,2019,2.5905896277826277,6023448.138800001
1,2020,2.588607967738788,5850828.3149
1,2021,2.5838400118635163,5545286.624100001
1,2022,2.638879676549825,5879683.165800001
1,2023,2.60304279929812,5871483.7824
1,2024,2.589331716510313,5974682.651199999
1,2025,2.5736857330079452,5927344.6687
1,2026,2.565308901039108,1171845.9381000001
2,1977,2.5495954785582975,65014.67999999999
2,1978,2.540825052612864,151226.16000000003
2,1979,2.4864124692943235,138896.77000000002
2,1980,2.5233248314795818,143846.31
2,1981,2.5459457458223698,169760.42
2,1982,2.5134489990988205,155275.78999999998
2,1983,2.5835504685257753,168758.32
2,1984,2.577171393144206,192211.08000000002
2,1985,2.5111105344452787,171229.05
2,1986,2.461116838385899,197230.22
2,1987,2.4817759055867255,206231.15
2,1988,2.455823421129183,200895.08000000002
2,1989,2.525550295130527,220112.57
2,1990,2.4653525784226127,245986.28
2,1991,2.4706263393566563,254070.49000000002
2,1992,2.560598113857077,256818.41999999998
2,1993,2.514035167079672,290331.41000000003
2,1994,2.477272011394504,305842.3167
2,1995,2.461963349271863,262148.70680000004
2,1996,2.4532553785394993,267178.5701
2,1997,2.51096983546355,263499.8634
2,1998,2.456684586566185,336364.34160000004
2,1999,2.485920710696557,342863.1498
2,2000,2.501439674065091,382036.51540000003
2,2001,2.498596710827979,376139.0919
2,2002,2.469392640923767,409583.0443
2,2003,2.52193729699315,496376.75710000005
2,2004,2.5128591462072816,513727.3402000001
2,2005,2.487143848001039,580514.297
2,2006,2.536024235173892,624996.3683999999
2,2007,2.546644386753043,626122.0005000001
2,2008,2.529385976278832,649155.6916
2,2009,2.549554455939644,714101.3302
2,2010,2.527770948519886,762617.5185
2,2011,2.5131344004122904,756239.743
2,2012,2.526043316470096,870907.5793999999
2,2013,2.521196832319186,868282.7913
2,2014,2.566351767998914,870002.4323
2,2015,2.5629883287242614,863454.0441999999
2,2016,2.5228576763358537,847470.8105
2,2017,2.5103445720838398,940352.2403
2,2018,2.5404156507404227,955638.2061
2,2019,2.5218942103906006,868731.9469999999
2,2020,2.4872894394594995,850309.9521999999
2,2021,2.5070884703141867,912308.5922
2,2022,2.5255895006723716,914021.7808000001
2,2023,2.5352080695890966,857457.9298
2,2024,2.550727691211437,898798.1399000001
2,2025,2.501211151485161,889984.6071
2,2026,2.4855844424838933,169621.99779999998
4,1977,2.585916209582048,716352.15
4,1978,2.582847954112551,1493305.05
4,1979,2.5883405921260247,1529276.83
4,1980,2.5632907401226803,1541626.65
4,1981,2.5390669730822983,1559703.06
4,1982,2.5638004680938833,1463330.14
4,1983,2.5681775454044424,1401326.7400000002
4,1984,2.5340625215412795,1718027.85
4,1985,2.522687477546055,1929279.1999999997
4,1986,2.4879047786253543,1884783.8599999999
4,1987,2.4908451274997274,1892639.58
4,1988,2.527623319344153,2003882.9700000002
4,1989,2.5341313799788883,2007377.2399999998
4,1990,2.5310336028966867,1946767.01
4,1991,2.511557600405533,2028481.0999999999
4,1992,2.5481148284168964,2225510.3600000003
4,1993,2.527347837536264,2251751.55
4,1994,2.521852543296542,2623644.1412
4,1995,2.5300792535582346,2751867.7218
4,1996,2.4829447326132366,2609831.4897999996
4,1997,2.5182879020974647,2776286.8989
4,1998,2.5418434705912993,3067308.1123
4,1999,2.521890769450947,3436295.4499
4,2000,2.5261678372552674,3715863.5522000007
4,2001,2.4490171756762624,3598339.2447
4,2002,2.4627911551224266,3730752.3349999995
4,2003,2.4644816234332114,4340933.7521
4,2004,2.50060645142343,4578577.5648
4,2005,2.5017168789057656,4772703.2215
4,2006,2.5249525756610267,5084258.058300001
4,2007,2.565123372784587,5670647.9973
4,2008,2.5322140478966535,6530109.368899999
4,2009,2.5269715362908634,6605091.095299999
4,2010,2.5032830254432925,6435795.827500001
4,2011,2.4978805309700562,6369559.1532000005
4,2012,2.5052847605525854,6779620.252699999
4,2013,2.5105179755601674,6909203.0628
4,2014,2.535275279182475,6987575.2328
4,2015,2.544122956658312,7323087.7939
4,2016,2.5190760445157276,7503611.2946999995
4,2017,2.4898233545756487,7875158.7809
4,2018,2.5382366439242343,8546359.3507
4,2019,2.5306776433513587,8510658.203200001
4,2020,2.5312805102074916,8646851.055
4,2021,2.5244050870358468,9266076.9297
4,2022,2.5315088165887487,8845391.712599998
4,2023,2.482234872997399,8820186.3554
4,2024,2.5079330934880977,8992899.1987
4,2025,2.5070876753050126,8652768.1062
4,2026,2.5396817838192955,1471387.0536
5,1977,2.6162133723594763,779756.03
5,1978,2.620453020336941,1726524.1899999997
5,1979,2.6378081693979087,1661500.57
5,1980,2.6088671268420103,1693945.64
5,1981,2.6414948887903247,1778753.5699999998
5,1982,2.6260003250063266,1774783.8199999998
5,1983,2.6237861709884243,1602472.58
5,1984,2.6218352701102376,1575802.8599999999
5,1985,2.6017818201969214,1448660.63
5,1986,2.589455926398628,1337542.84
5,1987,2.6179063959789786,1460773.51
5,1988,2.6322054226100633,1473667.9
5,1989,2.6100901351545014,1662598.9
5,1990,2.630151197753302,1577807.8699999999
5,1991,2.649587275096513,1473331.86
5,1992,2.622248652918943,1557110.0999999999
5,1993,2.6131674809729812,1636002.59
5,1994,2.635338204314361,1695396.3189
5,1995,2.614297192390399,1743789.3117
5,1996,2.6171736576879323,1867929.9497000002
5,1997,2.649252988561566,1928473.628
5,1998,2.6201064061134085,1763586.7108999998
5,1999,2.6479217713175727,1883704.8536
5,2000,2.633697942045556,2084379.005
5,2001,2.6510311839826386,2014995.5782
5,2002,2.564011855770599,2153250.1032999996
5,2003,2.597644305100651,2316788.7917
5,2004,2.611939031540901,2374390.0557
5,2005,2.5864857779423653,2571744.7188999997
5,2006,2.6415392603674746,2826028.8839999996
5,2007,2.5882064839774075,2816136.9222
5,2008,2.5478455267822255,2785302.5637
5,2009,2.581365839467749,2951832.9751
5,2010,2.5815237757410583,2851057.1081999997
5,2011,2.588760486032907,2770211.9227
5,2012,2.625990300621267,2699445.2251000004
5,2013,2.6363080922238176,2712666.9116
5,2014,2.6437750168088336,2900624.8115
5,2015,2.6027759463077897,3149695.385
5,2016,2.585617223800079,3162189.8486
5,2017,2.57111740161332,3265595.9354000003
5,2018,2.5662150323295663,3323745.1314
5,2019,2.579472948143781,3694770.5453
5,2020,2.575523461866121,3424849.4976
5,2021,2.5727396759886263,3430591.2237
5,2022,2.5885533636997926,3409021.2833
5,2023,2.611904300247941,3410734.5028000004
5,2024,2.6148768195025043,3306635.4925
5,2025,2.614880785696499,3304876.5082
5,2026,2.594948705664706,652081.2938000001
6,1976,2.5958676540871037,18823075.74
6,1977,2.5867597429954508,16591828.370000001
6,1978,2.5774031711021466,14338202.450000001
6,1979,2.565759923736757,15754915.110000001
6,1980,2.561014557001432,15742197.639999999
6,1981,2.5667532996028384,15404210.75
6,1982,2.551239881585943,16150354.940000001
6,1983,2.566110162933911,16850362.66
6,1984,2.5596632469625407,16577457.590000002
6,1985,2.5452103628189344,16032471.589999998
6,1986,2.529152823702376,16854342.080000002
6,1987,2.508015597709665,17267821.81
6,1988,2.4862146801436023,17028634.21
6,1989,2.535631741653219,17442145.22
6,1990,2.5328628548492715,17946601.18
6,1991,2.538331028806047,17207770.81
6,1992,2.5584980894164584,17574061.07
6,1993,2.5388486128763477,17866325.17
6,1994,2.5185722932987553,18454913.259000003
6,1995,2.5191987115561054,19164571.4753
6,1996,2.5015601642612286,18661274.6092
6,1997,2.4844559495039555,19719875.0902
6,1998,2.4967816628337434,20856892.2077
6,1999,2.4992742955440255,22074722.7175
6,2000,2.5150214893172578,22245836.3152
6,2001,2.5167672741769347,22349199.6236
6,2002,2.515245282130296,23485357.887900002
6,2003,2.49030508452992,26461403.6688
6,2004,2.4852305726378816,28765776.9402
6,2005,2.471173201798564,30953519.6355
6,2006,2.4743668928606892,31082650.4261
6,2007,2.469432224758292,31489202.1838
6,2008,2.4765276074022684,34842252.3178
6,2009,2.4751871302302546,34635696.1286
6,2010,2.4725348049881055,34786210.8438
6,2011,2.480715387773841,36334815.3515
6,2012,2.4885535471063003,38671533.963300005
6,2013,2.4850693915300197,40554172.055
6,2014,2.4909640726427518,42465151.5375
6,2015,2.4983167738246985,44222936.634799995
6,2016,2.4921431949988904,44942600.1047
6,2017,2.4951184407824467,45710772.6178
6,2018,2.5142916870947563,47171692.56079999
6,2019,2.4970085914912863,46687717.0388
6,2020,2.5065868214806297,43851567.0806
6,2021,2.5030882477922294,46529980.2786
6,2022,2.507135951402227,48017572.205400005
6,2023,2.5052526474628074,46710350.1491
6,2024,2.5096521767515565,46069815.4275
6,2025,2.487265888953383,44740354.3829
6,2026,2.4743637186110665,7974400.843699999
8,1977,2.561877901667837,879007.54
8,1978,2.6222624597016826,1667795.98
8,1979,2.5692592695286582,1795321.9900000002
8,1980,2.5448680999872617,1975593.83
8,1981,2.5481679860762796,2008862.99
8,1982,2.5201235030797995,1959871.93
8,1983,2.5308440361576205,2033384.6
8,1984,2.544063512800784,1998640.99
8,1985,2.538550426843677,1967858.17
8,1986,2.5158554842465066,1959448.24
8,1987,2.492160167299859,2124998.27
8,1988,2.492334783128639,2197251.06
8,1989,2.5122885593964743,2027801.74
8,1990,2.564680248852145,1978019.9400000002
8,1991,2.5551979400538434,2013062.6900000002
8,1992,2.524174529007041,2043544.7
8,1993,2.5156114807483068,2305705.09
8,1994,2.5036721007883385,2285403.8599
8,1995,2.5479671172635068,2330838.5426
8,1996,2.5453252538363134,2497831.9060000004
8,1997,2.5330204970754258,2660895.3391
8,1998,2.5255217870892404,2772843.4578
8,1999,2.5169480895370655,3013168.4951
8,2000,2.5063462069784213,2961440.567
8,2001,2.553140207014113,2832651.4926000005
8,2002,2.5252953653694408,3025054.9483
8,2003,2.5098219585290362,3923589.8899
8,2004,2.495146114122637,4193024.7023
8,2005,2.4809210410962548,4367035.1871
8,2006,2.508628183076984,4644243.6357
8,2007,2.4737712067525357,5144716.0373
8,2008,2.4976030449783404,5185259.1343
8,2009,2.4743557944954824,5523589.687899999
8,2010,2.4528601074930525,5498928.187000001
8,2011,2.4724598484957725,5757653.2238
8,2012,2.4835121862006617,5860503.940199999
8,2013,2.5031489831584723,6139993.649499999
8,2014,2.5052609680829283,6592306.5987
8,2015,2.475066678962179,6850868.8186
8,2016,2.5080055516903457,6970032.716699999
8,2017,2.4643269220313875,7374217.141500001
8,2018,2.476485965146654,7849424.4657000005
8,2019,2.5042292688490386,7899495.5913
8,2020,2.4816401786688878,7555219.3885
8,2021,2.4955163964870493,7525652.614100001
8,2022,2.456437604904937,7868816.684700001
8,2023,2.469838290414154,7767502.384199999
8,2024,2.500736864566238,7558897.5062
8,2025,2.453486766249069,7056337.433599999
8,2026,2.418459421144758,1130565.8199
9,1976,2.6966217625873794,2662337.02
9,1977,2.7135413545416567,2658414.2
9,1978,2.7030042756515904,2877308.12
9,1979,2.7096536537031013,3053205.09
9,1980,2.6947546491037415,3126189.12
9,1981,2.66337200350757,3114120.3299999996
9,1982,2.692942048882707,3063777.43
9,1983,2.6981775352918573,2832536.2
9,1984,2.727329137815142,2971926.88
9,1985,2.6853148726919955,2722937.37
9,1986,2.6890344665473203,3129636.97
9,1987,2.657639068726274,3301977.5399999996
9,1988,2.6622853525449313,2907474.17
9,1989,2.6373986779866256,2881040.66
9,1990,2.62980167365774,2996019.6500000004
9,1991,2.6629529317574727,2682899.3499999996
9,1992,2.6453981490047775,2448832.01
9,1993,2.6049884897253412,2495674.97
9,1994,2.5962021131862034,2695639.4348
9,1995,2.5587298212303713,2727207.5993
9,1996,2.5275342037130253,2411344.4423
9,1997,2.571909437500474,2364306.3372
9,1998,2.5944653403373032,3080081.9651999995
9,1999,2.5488803813820837,3054140.7956999997
9,2000,2.562084513263757,3523506.9645999996
9,2001,2.5515816856314055,3469532.4864000003
9,2002,2.518679473843596,3430839.0046
9,2003,2.5226288644203896,3598399.5584000004
9,2004,2.5367759123110702,3759263.4487
9,2005,2.5367911388138604,3913136.163
9,2006,2.5416613155994274,4024333.1373999994
9,2007,2.51523712527994,4166801.4813
9,2008,2.5100507455945773,4462202.3050999995
9,2009,2.487704953945273,4381778.558700001
9,2010,2.469916719844266,4510480.1086
9,2011,2.519346828802256,4521947.9573
9,2012,2.5205936460180824,4665135.7743
9,2013,2.5253617418301735,4941093.9627
9,2014,2.507864946860812,5041498.273899999
9,2015,2.4875840078901166,5361955.1642
9,2016,2.4810351675443774,5579141.7532
9,2017,2.470447151816556,6108491.565099999
9,2018,2.49249251734593,6008263.683999999
9,2019,2.4624445562440633,5957758.8069
9,2020,2.4667202211631065,5823741.9258
9,2021,2.4321434383444958,5998006.3685
9,2022,2.4888876295007507,6189114.8657
9,2023,2.4917978783722363,6076399.1275
9,2024,2.497071715269243,6129585.5744
9,2025,2.5139198339594744,5327561.647399999
9,2026,2.502730106590145,939681.2223
10,1977,2.6348837809786603,192881.94999999998
10,1978,2.621144244290006,388708.63999999996
10,1979,2.5794233582250055,434908.06
10,1980,2.603725683628554,450909.5
10,1981,2.57753293320398,431180.96
10,1982,2.621765160067483,459370.35
10,1983,2.590747918137354,469061.61
10,1984,2.5921196150120824,466367.45
10,1985,2.658655641494425,408464.15
10,1986,2.6212421686664094,378810.24
10,1987,2.604697885748444,451247.09
10,1988,2.5582728040813545,442252.04000000004
10,1989,2.581847726969225,442348.35
10,1990,2.635924458278669,452752.0
10,1991,2.6291925113710413,436985.32
10,1992,2.6132736338188085,385991.35
10,1993,2.599797228139407,396049.89999999997
10,1994,2.666145986245932,416120.9546
10,1995,2.586355658870207,520437.67689999996
10,1996,2.5452768062746522,548400.0434
10,1997,2.5811500262566254,587543.8725999999
10,1998,2.550288348757278,617430.575
10,1999,2.5137038083334415,586809.7668
10,2000,2.5259062272170025,717250.3647
10,2001,2.576394146126855,732676.6999
10,2002,2.5451685958591286,724394.8548000001
10,2003,2.5374201115230375,704977.579
10,2004,2.579330279241155,739650.8108999999
10,2005,2.5624010380408815,800365.8732999999
10,2006,2.552012654871448,894686.5517000001
10,2007,2.5256075119772734,923098.5129
10,2008,2.541447193447486,889595.9071000001
10,2009,2.547445770360619,879434.8994
10,2010,2.544628588537748,914641.2328
10,2011,2.564178978820968,1043279.1993
10,2012,2.535931047604947,1099301.5359999998
10,2013,2.539569180879185,1080470.0016
10,2014,2.542075867823231,1169066.1985000002
10,2015,2.5125860573058305,1261343.8662999999
10,2016,2.49226359269722,1262195.5954999998
10,2017,2.5727664555559313,1352717.5934000001
10,2018,2.5157626860527733,1453468.0795999998
10,2019,2.5551361635250798,1364288.8846999998
10,2020,2.5509914243370266,1359085.4341999998
10,2021,2.6069270493948546,1432199.5216
10,2022,2.5149432746912805,1441999.9093
10,2023,2.5252490397521568,1499474.3138
10,2024,2.5245162696689993,1555903.9
10,2025,2.5240470311361145,1404836.8274
10,2026,2.4869506784209303,272050.4026
11,1976,2.4897284807904554,543398.8500000001
11,1977,2.513371759896969,481319.09
11,1978,2.556326168300515,491867.57000000007
11,1979,2.5763486624946226,444261.22000000003
11,1980,2.4856464142983987,472926.95999999996
11,1981,2.506886697073332,432208.74
11,1982,2.549689848014936,480908.01
11,1983,2.5017543487888254,463370.55000000005
11,1984,2.511220962060326,452160.98000000004
11,1985,2.5091599832292846,473994.7
11,1986,2.479258897391893,405647.05000000005
11,1987,2.496401289458289,413567.67000000004
11,1988,2.5599015555927784,445921.70999999996
11,1989,2.5733648100118782,417652.89
11,1990,2.511155063158128,394257.26999999996
11,1991,2.4857113228119236,380960.81000000006
11,1992,2.511277673039244,384445.58
11,1993,2.498968292863146,376242.89
11,1994,2.4634963517944337,403250.649
11,1995,2.466019812200915,376340.7971
11,1996,2.469381705983649,346708.3273
11,1997,2.4846162425581864,355037.0986
11,1998,2.499126156459104,363087.8909
11,1999,2.4378201341825876,449956.5748
11,2000,2.4065365963152776,496412.4594
11,2001,2.419789248203124,482265.3526
11,2002,2.4226192341512784,485760.3023
11,2003,2.378650906485803,515519.6854000001
11,2004,2.3478866696820746,541566.6374
11,2005,2.3460759002096303,525922.5105
11,2006,2.3658619207116187,519484.0621
11,2007,2.3524470979522643,573425.3066
11,2008,2.3616212913752297,590714.655
11,2009,2.3438898904158765,610521.1632000001
11,2010,2.3360950458842007,602079.2621
11,2011,2.3301741858244918,630604.5932
11,2012,2.331198234168075,625661.2956000001
11,2013,2.3521728198798124,661200.4230000001
11,2014,2.3581456858698204,659626.3718000001
11,2015,2.3351468884459567,676844.6231
11,2016,2.352581357360354,711992.2137
11,2017,2.323357374156834,675648.548
11,2018,2.2993850490518257,668451.3734
11,2019,2.291554199978706,694082.2399
11,2020,2.299288165048068,673716.3257
11,2021,2.3201211734634755,699044.4103999999
11,2022,2.2975096913763466,691724.434
11,2023,2.3020311772923474,646240.1751999999
11,2024,2.251714714063244,665425.9117
11,2025,2.26173537505162,626267.0896999999
11,2026,2.2699853066870204,107222.0514
12,1976,2.542117511979204,5344724.26
12,1977,2.5598298558356425,5326044.92
12,1978,2.574224270890168,6186918.160000001
12,1979,2.5593697413267233,6074650.390000001
12,1980,2.5834725508262686,6500328.49
12,1981,2.5607363468418205,6659516.040000001
12,1982,2.5804852274786545,7528439.33
12,1983,2.592444264447579,7592776.390000001
12,1984,2.5735171217065616,7901329.600000001
12,1985,2.5761081018549596,7962868.36
12,1986,2.5574492209044575,8429208.93
12,1987,2.566453613769416,9008936.53
12,1988,2.5548860031560596,9040117.280000001
12,1989,2.5576600078756915,9011848.61
12,1990,2.563428132770025,9440343.09
12,1991,2.5544534689906264,9194058.629999999
12,1992,2.5561420439906586,9239761.11
12,1993,2.5474276260377287,9545957.6
12,1994,2.549556754770851,9653178.8969
12,1995,2.569064082428052,9695390.736000001
12,1996,2.5751015720638866,10084147.878700001
12,1997,2.57634184507436,10490136.904800002
12,1998,2.5479835374568105,10883365.314
12,1999,2.545621460654759,11384091.0832
12,2000,2.5392412656779197,11982099.871
12,2001,2.532847893690631,12855393.1792
12,2002,2.5358597069122766,13288521.270499999
12,2003,2.5478432694462594,15086679.2905
12,2004,2.557060764230615,16589706.667399999
12,2005,2.5499957640937847,18060762.683
12,2006,2.5545146172024085,19648101.81
12,2007,2.5302743043655647,20220091.352300003
12,2008,2.5202422489724303,20518840.165
