onet_soc,abstract,routine,manual,rti
11-1011.00,4.283333333333334,2.3600000000000003,2.42,-1.4798374438041955
11-1011.03,4.33,1.5,1.7149999999999999,-1.5995155145241373
11-1021.00,3.8200000000000003,2.15,2.16,-1.3448908021749864
11-2011.00,3.44,1.85,1.9449999999999998,-1.285547809365483
11-2021.00,3.8066666666666666,1.9,2.045,-1.410297818882125
11-2022.00,3.8033333333333332,1.6300000000000001,1.705,-1.3808629711226839
11-2033.00,3.3466666666666662,2.0,1.925,-1.1697436127752756
11-3012.00,3.41,2.42,2.4000000000000004,-1.2184134884807305
11-3013.00,3.9499999999999997,2.6799999999999997,2.9,-1.4526095213826935
11-3013.01,3.86,2.42,2.355,-1.3234403707765254
11-3021.00,3.796666666666667,2.58,2.285,-1.2127001142036233
11-3031.00,3.4299999999999997,2.72,2.175,-1.00895704541059
11-3031.01,4.066666666666666,2.4000000000000004,1.5,-0.9328200338253654
11-3031.03,4.07,1.9,1.62,-1.2442152625264018
11-3051.00,3.4766666666666666,3.1900000000000004,2.75,-1.097653975226298
11-3051.01,4.13,2.525,1.92,-1.1443615302853085
11-3051.02,3.563333333333333,3.13,2.3449999999999998,-0.9819488337150247
11-3051.03,3.6266666666666665,3.5549999999999997,2.36,-0.8786205085420014
11-3051.04,3.4566666666666666,3.83,2.66,-0.8757660531743792
11-3051.06,3.6233333333333335,2.965,2.5700000000000003,-1.1444232789224482
11-3061.00,3.7866666666666666,2.46,1.63,-0.9199047894992951
11-3071.00,3.58,2.45,2.75,-1.3908756875344532
11-3071.04,3.9066666666666667,2.35,1.955,-1.1786593607620184
11-3111.00,3.736666666666667,2.355,1.625,-0.9471610367292786
11-3121.00,3.8633333333333333,2.14,1.795,-1.1757295615900327
11-3131.00,4.07,1.8900000000000001,1.605,-1.2401899269649317
11-9013.00,3.6533333333333338,2.635,3.41,-1.5534691021538598
11-9021.00,3.5933333333333333,2.8,3.175,-1.4047684919762382
11-9031.00,3.1733333333333333,2.435,2.25,-1.0757660198169399
11-9032.00,3.953333333333333,1.455,1.7249999999999999,-1.5447802547613367
11-9033.00,4.023333333333333,1.6800000000000002,1.48,-1.2653590408021866
11-9041.00,3.8333333333333335,2.31,2.37,-1.3693771773144323
11-9041.01,4.156666666666666,2.375,2.33,-1.4055843011148401
11-9051.00,3.34,2.495,2.385,-1.1608812021254313
11-9071.00,3.4433333333333334,2.6100000000000003,2.22,-1.0745969690130235
11-9072.00,4.023333333333333,2.19,2.5149999999999997,-1.5304820061646236
11-9081.00,3.51,2.9699999999999998,2.145,-0.9301936370431464
11-9111.00,4.010000000000001,2.54,2.02,-1.159724671701146
11-9121.00,4.1866666666666665,2.085,2.66,-1.675462139914786
11-9121.01,3.233333333333333,2.705,1.795,-0.7634167064830246
11-9121.02,4.016666666666667,1.695,1.88,-1.4940414072779986
11-9131.00,3.5666666666666664,3.16,2.05,-0.8388992183512468
11-9141.00,3.3366666666666664,2.025,1.925,-1.1543285718402645
11-9151.00,3.6033333333333335,2.305,2.3600000000000003,-1.305440285571914
11-9161.00,3.76,1.915,2.685,-1.6623820627300216
11-9171.00,3.8233333333333337,2.5250000000000004,3.1950000000000003,-1.5764686675753445
11-9179.01,3.41,1.985,2.085,-1.2758622324070363
11-9179.02,3.6733333333333333,2.185,1.95,-1.1873130590847607
11-9199.01,4.12,2.1100000000000003,1.295,-0.9276759110249608
11-9199.02,3.8866666666666667,2.59,2.84,-1.4496980687159051
11-9199.08,3.6566666666666667,2.16,2.09,-1.2636078298996751
11-9199.09,3.86,2.4450000000000003,3.47,-1.700776654508672
11-9199.10,3.733333333333333,1.705,2.1149999999999998,-1.5327911913957002
11-9199.11,3.9466666666666668,1.895,2.135,-1.492119148933948
13-1011.00,3.186666666666667,1.93,1.44,-0.8660985490663153
13-1021.00,3.4066666666666667,2.715,1.9249999999999998,-0.8818683104612974
13-1022.00,3.0866666666666664,2.5949999999999998,2.015,-0.8741244387707728
13-1023.00,3.683333333333333,2.6149999999999998,1.87,-0.9684924726452613
13-1031.00,3.5666666666666664,3.17,2.605,-1.075332540115892
13-1032.00,3.373333333333333,2.535,3.64,-1.5776914197967127
13-1041.00,3.483333333333333,2.835,2.91,-1.2741008337463962
13-1041.01,3.4333333333333336,2.25,2.7,-1.415853163361435
13-1041.03,3.86,2.175,1.855,-1.1915232149954904
13-1041.04,3.356666666666667,2.45,2.685,-1.3025411214665537
13-1041.06,3.9333333333333336,2.2,3.35,-1.7899902282762143
13-1041.07,3.72,2.275,1.505,-0.9005365140829805
13-1041.08,3.5,3.2,1.8399999999999999,-0.6993777303105814
13-1051.00,3.9599999999999995,2.21,1.23,-0.7902656791210537
13-1071.00,3.3066666666666666,2.435,2.23,-1.107995461566146
13-1074.00,1.9733333333333334,3.5,2.98,-0.5188844922497496
13-1075.00,3.513333333333333,1.7,1.595,-1.192810739619744
13-1081.00,3.65,2.48,1.92,-1.0387937934571996
13-1081.01,3.986666666666667,2.4349999999999996,1.995,-1.18365275366165
13-1081.02,4.013333333333333,2.725,2.315,-1.226563410635555
13-1111.00,4.306666666666667,1.925,1.645,-1.3029786261639338
13-1121.00,3.7466666666666666,2.255,2.5250000000000004,-1.4339576455701168
13-1131.00,4.026666666666666,2.025,2.035,-1.397865022174615
13-1141.00,3.59,2.4299999999999997,2.0949999999999998,-1.1298144985218315
13-1151.00,3.926666666666667,1.8050000000000002,1.875,-1.4058389571928607
13-1161.00,4.54,2.045,1.435,-1.158694071770076
13-1161.01,4.413333333333334,1.98,1.63,-1.2901134319529797
13-1199.04,3.793333333333333,1.84,1.385,-1.0491797080484826
13-1199.05,3.9,1.7199999999999998,1.5,-1.2241173704184036
13-1199.06,3.2066666666666666,2.3,1.75,-0.8919386410098241
13-1199.07,3.966666666666667,1.87,2.375,-1.6169851180694832
13-2011.00,3.7266666666666666,2.465,1.62,-0.8957485208084828
13-2022.00,3.94,2.305,2.3049999999999997,-1.3711807233098423
13-2023.00,3.736666666666667,2.1550000000000002,2.46,-1.450564574804519
13-2031.00,3.4599999999999995,2.8099999999999996,2.495,-1.1223728349274604
13-2041.00,3.6833333333333336,2.5749999999999997,1.4500000000000002,-0.7295321616124361
13-2052.00,4.1000000000000005,2.08,1.31,-0.9486462172100958
13-2053.00,3.6166666666666667,2.3499999999999996,2.12,-1.1825535518462127
13-2061.00,3.543333333333333,1.96,1.42,-0.9427803020564904
13-2071.00,3.34,2.685,2.425,-1.1041216034172274
13-2072.00,3.6999999999999997,2.4050000000000002,2.3600000000000003,-1.2894445351299728
13-2081.00,3.466666666666667,2.7150000000000003,2.04,-0.9573513719494434
13-2082.00,3.466666666666667,2.62,1.845,-0.8924984771987022
13-2099.01,4.183333333333333,2.065,1.35,-1.0060827429470252
13-2099.04,3.9133333333333336,2.56,2.34,-1.2745331966099798
15-1211.00,3.8233333333333337,2.67,2.52,-1.2833030715843434
15-1211.01,4.423333333333333,2.415,1.91,-1.2522975146300088
15-1212.00,3.7933333333333334,2.29,2.215,-1.2999457259610256
15-1221.00,4.453333333333333,1.925,2.205,-1.6294544205994517
15-1231.00,3.516666666666667,2.73,2.315,-1.092621649595295
15-1232.00,3.6199999999999997,2.41,3.1950000000000003,-1.5684343661646143
15-1241.00,3.6166666666666667,2.475,2.275,-1.2012924477006188
15-1241.01,3.776666666666667,2.0949999999999998,2.31,-1.4265357575314068
15-1242.00,3.733333333333333,2.295,2.085,-1.2213375013711953
