STATEFIP,YEAR,industry,emp_weighted,n_obs,total_emp,emp_share
1,1977,Construction,705304.03,473,8980016.62,0.07854150608465134
1,1977,Education and health services,1373377.11,927,8980016.62,0.15293703431920821
1,1977,Financial activities,437501.44,289,8980016.62,0.04871944657937616
1,1977,Government,462585.2,306,8980016.62,0.05151273316908405
1,1977,Information,116478.96,77,8980016.62,0.01297090695139493
1,1977,Leisure and hospitality,37792.83,25,8980016.62,0.004208547890193103
1,1977,Manufacturing - Durable goods,1301478.38,875,8980016.62,0.14493050904843427
1,1977,Manufacturing - Nondurable goods,1043088.03,718,8980016.62,0.11615658123358798
1,1977,Mining and logging,142055.75,94,8980016.62,0.015819096557529534
1,1977,Other services,384149.67,262,8980016.62,0.04277828051503094
1,1977,Professional and business services,561855.1,373,8980016.62,0.06256726727528039
1,1977,Retail trade,1475089.68,1000,8980016.62,0.164263580171414
1,1977,Transportation and warehousing,332610.44,221,8980016.62,0.03703895594794568
1,1977,Utilities,265637.07,174,8980016.62,0.029580910731098406
1,1977,Wholesale trade,341012.93,223,8980016.62,0.037974643525771117
1,1978,Construction,1335892.55,924,17313877.91,0.07715732760414273
1,1978,Education and health services,2583912.61,1806,17313877.91,0.14923939185845858
1,1978,Financial activities,792282.69,543,17313877.91,0.0457599790248261
1,1978,Government,880880.66,597,17313877.91,0.05087714402163068
1,1978,Information,226726.52,165,17313877.91,0.01309507443558033
1,1978,Leisure and hospitality,105937.91,70,17313877.91,0.006118670268479443
1,1978,Manufacturing - Durable goods,2516689.09,1718,17313877.91,0.1453567538758277
1,1978,Manufacturing - Nondurable goods,2049508.59,1447,17313877.91,0.11837374623141259
1,1978,Mining and logging,225836.29,162,17313877.91,0.013043657300457423
1,1978,Other services,750399.7,525,17313877.91,0.043340937478055716
1,1978,Professional and business services,1029068.21,700,17313877.91,0.05943603249077087
1,1978,Retail trade,2962377.4,2049,17313877.91,0.1710984341808842
1,1978,Transportation and warehousing,739830.36,500,17313877.91,0.042730482670938506
1,1978,Utilities,460613.11,317,17313877.91,0.026603694007450697
1,1978,Wholesale trade,653922.22,440,17313877.91,0.03776867455108444
1,1979,Construction,1368187.46,905,17808665.88,0.07682706100609936
1,1979,Education and health services,2723521.67,1826,17808665.88,0.15293238069330323
1,1979,Financial activities,735447.51,488,17808665.88,0.041297170431275454
1,1979,Government,848689.48,550,17808665.88,0.047655983088161574
1,1979,Information,220902.31,154,17808665.88,0.012404203183354912
1,1979,Leisure and hospitality,96809.61,57,17808665.88,0.005436095586964879
1,1979,Manufacturing - Durable goods,2631692.91,1725,17808665.88,0.14777597197527972
1,1979,Manufacturing - Nondurable goods,2248622.26,1523,17808665.88,0.12626562119542667
1,1979,Mining and logging,239695.69,170,17808665.88,0.013459497281556052
1,1979,Other services,942631.7,653,17808665.88,0.0529310677370067
1,1979,Professional and business services,1083538.17,708,17808665.88,0.06084330950455229
1,1979,Retail trade,2758423.04,1853,17808665.88,0.15489217769523342
1,1979,Transportation and warehousing,784962.39,519,17808665.88,0.04407755164195377
1,1979,Utilities,380601.83,249,17808665.88,0.021371720518797224
1,1979,Wholesale trade,744939.85,475,17808665.88,0.04183018846103479
1,1980,Construction,1275794.04,955,17668126.07,0.07220879197631852
1,1980,Education and health services,2840727.77,2132,17668126.07,0.16078262962043716
1,1980,Financial activities,729969.87,558,17668126.07,0.041315636254116904
1,1980,Government,809581.48,615,17668126.07,0.04582158157534587
1,1980,Information,326061.14,248,17668126.07,0.01845476643692525
1,1980,Leisure and hospitality,101506.99,70,17668126.07,0.005745204080944166
1,1980,Manufacturing - Durable goods,2590195.84,1921,17668126.07,0.14660274834681433
1,1980,Manufacturing - Nondurable goods,2082166.21,1549,17668126.07,0.11784872950026443
1,1980,Mining and logging,298975.78,225,17668126.07,0.016921759490252496
1,1980,Other services,949684.97,722,17668126.07,0.05375131274462317
1,1980,Professional and business services,1096373.13,838,17668126.07,0.062053730296933514
1,1980,Retail trade,2556148.05,1977,17668126.07,0.1446756741418248
1,1980,Transportation and warehousing,712163.44,537,17668126.07,0.04030780837642053
1,1980,Utilities,438011.7,311,17668126.07,0.024791067160412218
1,1980,Wholesale trade,860765.66,633,17668126.07,0.0487185599983666
1,1981,Construction,1205972.99,828,17466087.46,0.06904654478353334
1,1981,Education and health services,2729356.95,1866,17466087.46,0.15626607597440714
1,1981,Financial activities,789193.15,545,17466087.46,0.04518431227413538
1,1981,Government,718169.21,506,17466087.46,0.0411179213229475
1,1981,Information,317121.75,216,17466087.46,0.018156427461287886
1,1981,Leisure and hospitality,114157.09,80,17466087.46,0.006535927995404644
1,1981,Manufacturing - Durable goods,2393793.97,1651,17466087.46,0.13705381789036342
1,1981,Manufacturing - Nondurable goods,2204355.49,1542,17466087.46,0.12620774372327573
1,1981,Mining and logging,199228.59,141,17466087.46,0.011406595235267417
1,1981,Other services,826252.53,558,17466087.46,0.047306102863176665
1,1981,Professional and business services,1195224.59,816,17466087.46,0.06843115796466989
1,1981,Retail trade,2779583.62,1920,17466087.46,0.15914174404345963
1,1981,Transportation and warehousing,640585.53,458,17466087.46,0.036675960284009705
1,1981,Utilities,520966.43,346,17466087.46,0.029827311422383086
1,1981,Wholesale trade,832125.57,555,17466087.46,0.04764235676167855
1,1982,Construction,1105601.06,731,17203274.44,0.06426689662226885
1,1982,Education and health services,2683112.08,1751,17203274.44,0.1559651965884699
1,1982,Financial activities,798324.47,527,17203274.44,0.04640537897505052
1,1982,Government,850672.81,581,17203274.44,0.049448307818775926
1,1982,Information,303759.72,213,17203274.44,0.017657087379465183
1,1982,Leisure and hospitality,165417.38,106,17203274.44,0.009615458997467461
1,1982,Manufacturing - Durable goods,2076710.41,1402,17203274.44,0.12071599608800984
1,1982,Manufacturing - Nondurable goods,2250939.66,1483,17203274.44,0.13084367559505142
1,1982,Mining and logging,203261.04,131,17203274.44,0.011815253003660157
1,1982,Other services,731455.18,475,17203274.44,0.042518369543606487
1,1982,Professional and business services,1010343.15,669,17203274.44,0.05872970018142662
1,1982,Retail trade,3088951.85,2032,17203274.44,0.17955604096030453
1,1982,Transportation and warehousing,731057.98,495,17203274.44,0.04249528091583476
1,1982,Utilities,434159.37,289,17203274.44,0.025237019354322408
1,1982,Wholesale trade,769508.28,488,17203274.44,0.04473033797628587
1,1983,Construction,1370761.71,852,17796567.88,0.07702393625798369
