STATEFIP,YEAR,QUARTER,industry,emp_weighted,total_emp,emp_share
1,1977,1,Construction,114257.14,1451635.39,0.07870925494589934
1,1977,1,Education and health services,240796.81,1451635.39,0.16587967726523944
1,1977,1,Financial activities,56124.46,1451635.39,0.03866291796592256
1,1977,1,Government,79953.89,1451635.39,0.05507849322962566
1,1977,1,Information,16786.12,1451635.39,0.01156359242523014
1,1977,1,Leisure and hospitality,7260.4,1451635.39,0.0050015314107215315
1,1977,1,Manufacturing - Durable goods,228654.37,1451635.39,0.15751501484129565
1,1977,1,Manufacturing - Nondurable goods,176379.23,1451635.39,0.12150380957576408
1,1977,1,Mining and logging,14041.35,1451635.39,0.009672780160037295
1,1977,1,Other services,58574.81,1451635.39,0.040350910706303464
1,1977,1,Professional and business services,87006.45,1451635.39,0.059936848191610985
1,1977,1,Retail trade,235224.45,1451635.39,0.16204099984087603
1,1977,1,Transportation and warehousing,60833.18,1451635.39,0.04190665260647855
1,1977,1,Utilities,36761.049999999996,1451635.39,0.02532388659937534
1,1977,1,Wholesale trade,38981.68,1451635.39,0.02685363023561998
1,1977,2,Construction,231698.49,2937183.28,0.0788845870047306
1,1977,2,Education and health services,449431.58,2937183.28,0.15301448263725648
1,1977,2,Financial activities,171403.85,2937183.28,0.05835653878568995
1,1977,2,Government,172754.96,2937183.28,0.05881654072332865
1,1977,2,Information,27983.559999999998,2937183.28,0.009527345532213434
1,1977,2,Leisure and hospitality,10411.24,2937183.28,0.003544634095833475
1,1977,2,Manufacturing - Durable goods,359072.71,2937183.28,0.12225069931625106
1,1977,2,Manufacturing - Nondurable goods,332650.97,2937183.28,0.11325509452035284
1,1977,2,Mining and logging,56701.28,2937183.28,0.019304644822845378
1,1977,2,Other services,125156.01,2937183.28,0.042610895565223295
1,1977,2,Professional and business services,173126.75,2937183.28,0.05894312117969023
1,1977,2,Retail trade,501840.96,2937183.28,0.17085789757049144
1,1977,2,Transportation and warehousing,111079.51,2937183.28,0.037818378838109144
1,1977,2,Utilities,70951.19,2937183.28,0.024156201107068814
1,1977,2,Wholesale trade,142920.22,2937183.28,0.04865893830091529
1,1977,3,Construction,125871.12,1525620.95,0.0825048449944267
1,1977,3,Education and health services,227422.73,1525620.95,0.14906896106795073
1,1977,3,Financial activities,69484.48,1525620.95,0.04554504839488472
1,1977,3,Government,60893.36,1525620.95,0.03991382000882985
1,1977,3,Information,16137.47,1525620.95,0.010577640533842957
1,1977,3,Leisure and hospitality,9275.98,1525620.95,0.006080134125059046
1,1977,3,Manufacturing - Durable goods,231739.74,1525620.95,0.15189863510985477
1,1977,3,Manufacturing - Nondurable goods,168100.81,1525620.95,0.11018517410894234
1,1977,3,Mining and logging,17444.71,1525620.95,0.01143449819563634
1,1977,3,Other services,64674.7,1525620.95,0.042392378001888345
1,1977,3,Professional and business services,104286.61,1525620.95,0.0683568287391439
1,1977,3,Retail trade,263822.82,1525620.95,0.17292815754791518
1,1977,3,Transportation and warehousing,55536.14,1525620.95,0.03640231867555306
1,1977,3,Utilities,54993.7,1525620.95,0.036046765089323134
1,1977,3,Wholesale trade,55936.58,1525620.95,0.036664795406748975
1,1977,4,Construction,233477.28,3065577.0,0.07616095762722645
1,1977,4,Education and health services,455725.99,3065577.0,0.1486591235516185
1,1977,4,Financial activities,140488.65,3065577.0,0.045827800117237305
1,1977,4,Government,148982.99,3065577.0,0.048598678160750815
1,1977,4,Information,55571.81,3065577.0,0.01812768363019425
1,1977,4,Leisure and hospitality,10845.21,3065577.0,0.003537738572542787
1,1977,4,Manufacturing - Durable goods,482011.56,3065577.0,0.15723355179139195
1,1977,4,Manufacturing - Nondurable goods,365957.02,3065577.0,0.11937622835766318
1,1977,4,Mining and logging,53868.41,3065577.0,0.01757202967010778
1,1977,4,Other services,135744.15,3065577.0,0.04428013062467522
1,1977,4,Professional and business services,197435.29,3065577.0,0.06440395723219479
1,1977,4,Retail trade,474201.45,3065577.0,0.15468587153413535
1,1977,4,Transportation and warehousing,105161.61,3065577.0,0.034304018460472534
1,1977,4,Utilities,102931.13,3065577.0,0.03357642949434968
1,1977,4,Wholesale trade,103174.45,3065577.0,0.033655801175439405
1,1978,1,Construction,357275.93,4143603.84,0.08622347690458748
1,1978,1,Education and health services,549996.96,4143603.84,0.13273396329317041
1,1978,1,Financial activities,212977.74,4143603.84,0.05139915595792092
1,1978,1,Government,210859.14,4143603.84,0.05088786190525396
1,1978,1,Information,46810.18,4143603.84,0.011296972830298372
1,1978,1,Leisure and hospitality,28110.48,4143603.84,0.006784065534604775
